consignee,town,address,phone,secondary_phone,email,website,cf_connect,,,
Agro Alimentaire Sa,Port-au-Prince,Haiti,+509 37 28 7257,n/a,jmriviere@carisafood.com,n/a,1,,3,n/a
Antoine Kawas – Anka,Tabarre,"Bldg. 20, Blvd Toussaint Louverture prolonge, Carrefour Fleuriot (Airport Industrial Park)",+509 28 16 2000,+509 28 16 2001,info@anka.ht,www.anka.ht,0,,15,n/a
Apollo Motors S.A. – Deka Group,Delmas,"10, Rue Barbancourt, Route de l'Aeroport",+509 28 13 0003,+509 36 25 7286,auto@automax-ht.com,n/a,0,,15,n/a
Aqua Systems,Delmas,"Rue T. Guilbaud, Varreux, Route de l'Aeroport",+509 28 13 0597,+509 37 32 0296,rstephye@yahoo.fr,www.aquasystemshaiti.com,0,,15,n/a
Associated Food Distributors S.A. (Afd),Delmas,"3, Rue Justin Juste, Route de l'Aeroport",+509 28 15 1200,+509 28 13 0587,info@afdhaiti.com,www.afdhaiti.com,0,,15,n/a
Atlantic Doors & Windows Manufacturing S.A.,Delmas,"73, Blvd Toussaint Louverture, Route de l'Aeroport",+509 28 16 1605,+509 28 16 1606,info@atlantic-haiti.com,www.atlantic-haiti.com,0,,15,n/a
"Auto Plaza ""Showroom Yamaha""",Petion-Ville,"83, Rue Lambert",+509 28 17 1111,n/a,elaurent@autoplazahaiti.com,www.autoplazahaiti.com,0,,3,n/a
Automeca (Auto Et Mecanique S.A.),Petion-Ville,"51, Rue Clerveaux",+509 28 16 2544,n/a,info@automecaonline.com,www.automecaonline.com,0,,3,n/a
Banque De La Republique D Haïti (Brh),Cap-Haïtien,Rues 16-17 A-B,+509 22 62 0351,+509 22 62 0354,n/a,www.brh.net,0,,15,n/a
Besuco S.A.,Port-au-Prince,"293, Rue de l'Enterrement",+509 37 01 6262,+509 34 19 3774,info@besucosa.com,www.besucosa.com,0,,15,n/a
Bhp Industries S.A.,Port-au-Prince,"5, Rue Safran, Drouillard",+509 36 36 1580,+509 29 40 9833,info@bhpindustries.com,www.bhpindustries.com,0,,15,n/a
Biansaiah Electromenager,Delmas,"3, Delmas 60, local Graphic Plus",+509 28 13 5040,n/a,infobiansaiha@gmail.com,n/a,0,,3,n/a
Blanchisserie Du Soleil,Tabarre,"Angle Rue Tapage et Blvd 15 Octobre, Tabarre 43, Local Belmart",+509 37 22 0108,n/a,blanchisserie.soleil@gmail.com,n/a,0,,3,n/a
Entreprise Bmf,Port-au-Prince,"43, Rue des Casernes",+509 47 99 6717,+509 47 99 6719,entreprisebmf@gmail.com,n/a,0,,15,n/a
Boulangerie Caprices,Port-au-Prince,"1, Imp. Foyer Divin, Sarthes 38, Route Nationale # 1",+509 37 38 7000,+509 47 17 7000,info@capriceshaiti.com,n/a,0,,15,n/a
Brasserie De La Couronne S.A.,Port-au-Prince,"Route Nationale # 1, Sarthes",+509 28 13 0952,+509 28 13 0957,commandes@bracour.com,n/a,1,,15,n/a
Brana S.A. (Brasserie Nationale D Haïti S.A.),Delmas,"Blvd Toussaint Louverture, Route de l'Aeroport, zone Trois Mains",+509 28 13 0212,+509 28 13 0313,brana.info@heineken.com,www.branahaiti.com,0,,15,n/a
Cannex Sa,"Habitation Dumornay, Tabarre Haiti","Habitation Dumornay, Tabarre Haiti",+509 37 01 2810,n/a,mcuvilly@cannex.ht,n/a,1,,3,n/a
Culligan (Caribbean Bottling Company S.A.),Croix-des-Bouquets,"2, Rue Culligan, Santo 17",+509 28 16 1701,+509 28 16 1702,info@culligan.ht,www.culligan.ht,0,,15,n/a
Laboratoires Pharmaceutiques 4C,Delmas,"470, Angle Autoroute de Delmas et Delmas 48",+509 28 11 0518,+509 36 14 2138,cchti@yahoo.com,www.laboratoires4c.com,1,,15,n/a
Caribbean Grain Company S.A. (Riz Mega),Port-au-Prince,"151, 6e etage, Imm. Digicel, Ave Jean-Paul II, Turgeau",+509 36 50 3500,+509 37 01 7830,info@caribbeangrain.com,www.caribbeangrain.com,1,,15,n/a
Caribbean Island Apparel,Port-au-Prince,"Bldg. 14, Parc Industriel Shodecosa, Chancerelles, Route Nationale # 1",+509 28 13 1721,+509 28 13 1722,ansaldi@island-apparel.com,n/a,0,,15,n/a
Caribbean Standard Glass S.A.,Delmas,"73, Blvd Toussaint Louverture, Route de l'Aeroport",+509 28 16 1605,+509 28 16 1606,info@csghaiti.com,www.csghaiti.com,0,,15,n/a
Caribbean Supermarket S.A.,Petion-Ville,"51, Rue Metellus",+509 31 13 3333,+509 31 11 3333,info@caribbeansupermarketsa.com,www.caribbeansupermarketsa.com,0,,15,n/a
Caribe Motors,Delmas,"33, Blvd Toussaint Louverture, Route de l'Aeroport",+509 29 40 3001,+509 29 40 3002,phjbastien@caribe-motors.com,www.caribe-motors.com,0,,15,n/a
Carribex,Delmas,"10, Autoroute de Delmas",+509 37 55 1035,+509 28 16 0666,internalcontrol@fpbgrouphaiti.com,n/a,1,,15,n/a
Cassis Frères S.A.,Port-au-Prince,"Parc Yonie, Cazeau, Bldg. 3",+509 29 43 2736,+509 39 96 0108,admin@cassisfreres.com,n/a,1,,15,n/a
Cemex Haiti (Terminal Varreux),Cite-Soleil,"Route Neuf, Chancerelles (local Terminal Varreux)",+509 29 18 5048,+509 29 40 9930,commercialhaiti@cemex.com,www.cemex.com,1,,15,n/a
Centroplus Sa,Port-au-Prince,Haiti,+509 37 35 8171,n/a,jmercredy@yahoo.com,n/a,1,,3,n/a
Cap Ceramic Expo Center,Cap-Haïtien,"32, Barrière Bouteille, Route Nationale # 1",+509 38 98 2020,+509 38 92 6200,sergioval@yahoo.fr,n/a,0,,15,n/a
Charles Fequière S.A.,Delmas,"4, Route Dumez, Angle Ave. Maïs-Gâte et Blvd T. Louverture",+509 28 13 3549,+509 29 43 4495,fequiere@hughes.net,www.charlesfequiere.com,1,,15,n/a
Chatodo,Port-au-Prince,"254, Ave. John Brown, Lalue, zone Ruelle Vaillant",+509 38 38 5004,n/a,info@chatodohaiti.com,www.chatodohaiti.com,0,,3,n/a
China National Industrial & Manufacturing Co,Hong Kong,Hong Kong,+509 25 23 1173,n/a,cdratnani@gmail.com,n/a,1,,3,n/a
Christian Aid (Ca),Petion-Ville,"125 A, Juvenat 5",+509 28 13 1999,+509 29 49 1999,praymond@christian-aid.org,www.christianaid.org.uk,0,,15,n/a
Cimenterie Nationale S.E.M. (Cina),Cabaret,"Route Nationale # 1, km 24, Fonds-Mombin",+509 29 18 5072,+509 29 18 5073,ventes@cina-haiti.com,www.cina.com.ht,0,,15,n/a
Citadelle-Kolos United S.A. (A Gb Group Company),Port-au-Prince,"Port Lafiteau, Route Nationale #1, Lafiteau",+509 28 16 1010,n/a,info@ht.colacem.com,www.gbgroup.com,1,,3,n/a
Cleveland Manufacturing S.A.,Delmas,"26, Angle Rue Jean-Gilles et Blvd. Toussaint Louverture",+509 38 68 5930,+509 28 11 4101,clifford@agacorp.com,n/a,0,,15,n/a
Cloxa Import Export Sa,"Airport Industrial Park, 42 blvd Toussaint Louvert","airport industrial park, 42 blvd toussaint louvert",+509 38 28 0505,n/a,micloind@aol.com,n/a,1,,3,n/a
Codigel,Tabarre,"Blvd Toussaint Louverture prolonge, Carrefour Fleuriot (Airport Industrial Park)",+509 28 11 7004,+509 28 11 7010,admin@codigelhaiti.com,n/a,1,,15,n/a
Compagnie Haïtienne De Moteurs S.A. (Chdm),Delmas,"20, Angle Rue Barbancourt et Toussaint Louverture",+509 28 13 1941,+509 28 16 0550,info@chdmhaiti.com,n/a,0,,15,n/a
Compagnie Haïtienne De Production Agricole S.A. (Chpa),Delmas,"10, Autoroute de Delmas",+509 28 15 9069,+509 37 55 1035,info@chpahaiti.com,n/a,0,,15,n/a
Compagnie Des Tabacs Comme Il Faut,Tabarre,Carrefour Clercine,+509 29 40 8047,+509 29 40 8048,welcome@commeilfaut.com,www.commeilfaut.com,0,,15,n/a
Cordon Bleu,Delmas,"2, Rue Tertulien G., Route de l'Aeroport",+509 29 42 0505,+509 34 50 0505,bradford@cordonbleu-haiti.com,n/a,0,,15,n/a
Cristo S.A. - Deka Group,Delmas,"10, Rue Barbancourt, Route de l'Aeroport",+509 28 13 0002,+509 28 13 0004,ejd@deka-ht.com,n/a,0,,15,n/a
Cynthia Cosmetic Distribution,Delmas,"10, Rue elie Dubois, Delmas 31",+509 28 13 9089,+509 28 11 1639,cynthia@cynthiacosmetic.com,n/a,0,,15,n/a
Darbouco S.A.,Petion-Ville,"13, Angle Rues Aubran et Gabart",+509 29 40 8054,+509 37 29 2598,darboucosa@yahoo.fr,n/a,0,,15,n/a
Deka Tires S.A. - Deka Group,Delmas,"10, Rue Barbancourt, Route de l'Aeroport",+509 28 13 1890,+509 28 13 1891,logistics@deka-ht.com,n/a,1,,15,n/a
Delimart,Carrefour,"Diquini 63, Route de Carrefour",+509 28 13 1517,n/a,sebastienboulos@gmail.com,n/a,1,,3,n/a
Denise B. Larco & Co.,Port-au-Prince,"580, Blvd. Jean Jacques Dessalines",+509 22 30 8124,n/a,n/a,n/a,0,,3,n/a
Disprophar S.A.,Delmas,Angle Autoroute de Delmas et Delmas 4,+509 38 06 7887,+509 38 06 7889,malherba@usa.net,www.disprophar.com,0,,15,n/a
Dinasa (Distributeurs Nationaux S.A.),Delmas,"2, Rue Jean-Gilles, Blvd Toussaint Louverture",+509 31 53 5701,+509 28 14 9001,salaclientele@dinasa.ht,www.dinasa.ht,0,,15,n/a
Dms Entreprise S.A.,Delmas,"Bldg. 51, Parc Industriel Sonapi, Route de l'Aeroport",+509 37 01 4747,+509 37 23 1200,info@dmshaiti.com,n/a,0,,15,n/a
Diesel National Company S.A. Dnc,Port-au-Prince,"116, Martissan 27, Riviera Plaza",+509 28 17 1977,+509 22 26 0719,dnchaiti@gmail.com,n/a,0,,15,n/a
Duty Free Americas (Dfa),Tabarre,Aeroport International Toussaint Louverture,+509 37 96 9916,+509 37 97 5202,dstines@uetainc.com,n/a,0,,15,n/a
Economic Construction Maritime (Eccomar S.A.),Cite-Soleil,"45, Sarthe 57, Route Nationale # 1",+509 28 16 0954,n/a,contact@eccomarhaiti.com,www.eccomarhaiti.com,0,,3,n/a
Ecem S.A. (Entreprise De Construction Electromecanique S.A.),Port-au-Prince,"Imp. Larco, Route Nationale # 1, Sarthe",+509 29 15 1616,+509 29 16 1515,info@ecemsa.net,n/a,0,,15,n/a
Economic Tires,Delmas,"245, Angle Delmas 37 et Autoroute de Delmas",+509 37 02 7762,+509 37 73 1030,economictires@yahoo.fr,n/a,0,,15,n/a
Ed.An Distribution,Port-au-Prince,"21, Imp. Foyer Divin, Sarthe, Route Nationale # 1",+509 28 13 1034,+509 28 13 1035,handalfils33@aol.com,n/a,0,,15,n/a
Eko Depôt,Petion-Ville,"4, Rue Pinchinat",+509 28 16 1459,+509 28 16 1460,info@ekodepot.com,n/a,0,,15,n/a
Electricite D Haïti (Edh),Camp-Perrin,Bas Camp,+509 28 13 1755,n/a,n/a,n/a,0,,3,n/a
Casami,Port-au-Prince,"324, Blvd. Jean Jacques Dessalines",+509 29 47 1717,+509 29 46 1515,secretariat@casamihaiti.com,n/a,1,,15,n/a
Les Entreprises Maritimes Et Commerciales Lionel S. D Adesky S.A. (Enmarcolda S.A.),Port-au-Prince,"3, Bas Autoroute de Delmas (après Carrefour Aviation)",+509 28 12 3434,+509 28 13 3434,enmarcolda@dadesky.com,www.enmarcolda.com,1,,15,n/a
Entreprise Publique De Promotion De Logements Sociaux (Eppls),Jeremie,"Ave emile Roumer, Complexe Administratifs Bordes",+509 37 26 0752,+509 36 26 3055,n/a,n/a,0,,15,n/a
Esg Group,Port-au-Prince,Haiti,+509 38 42 5583,n/a,stephan.n@vistle.com,n/a,1,,3,n/a
Ets Jb Vital Sa,Port-au-Prince,HAITI,+509 37 01 2640,n/a,jjeanniton@etsjbvitalsa.com,n/a,1,,3,n/a
Euroceram Plus S.A.,Petion-Ville,"Rue Panamericaine, à l'entree de Nerette, Complexe Evergreen",+509 33 24 2575,+509 28 13 0155,euroceramplus@euroceramplus.com,www.euroceramplus.com,1,,15,n/a
Florida Consolidators Haiti S.A. (Flocohsa),Tabarre,"18, Clercine 18, (Bldg FLOCOHSA)",+509 29 43 0158,+509 28 11 0197,tarimex@live.com,www.flocohsa.com,0,,15,n/a
Galerie 128 S.A.,Petion-Ville,"Angle Rues Lambert et St-Surin, Complexe Ste-Therèse, Juvenat",+509 22 26 5689,+509 28 18 6363,info@galerie128.com,www.galerie128.com,0,,15,n/a
Gaz Industriels Associes S.A. (Gia),Delmas,"4, Rue Solidarite, Route de l'Aeroport (en face Haytrac)",+509 28 13 1763,+509 37 16 1763,giasa2002@yahoo.com,n/a,0,,15,n/a
Giant Supermarket,Tabarre,"10, Plaza 22, Boulevard 15 Octobre",+509 29 47 4444,+509 29 47 4445,info@gianthaiti.com,www.gianthaiti.com,0,,15,n/a
Gk Import Export,Port-au-Prince,"Bldg. A5, Parc Industriel Shodecosa, Chancerelles, Route Nationale #1",+509 29 41 0232,n/a,gk22@hughes.net,n/a,0,,3,n/a
Global Home And Office Smart S.A.,Port-au-Prince,"10, Ave Lamartinière, Bois-Verna",+509 28 13 1016,+509 28 12 1016,servclientbv@globalhomeandoffice.com,n/a,0,,15,n/a
Grâce Trading,Port-au-Prince,"28, Rue de La Reunion",+509 29 41 7441,+509 22 41 7441,info@gracetrading.biz,n/a,0,,15,n/a
Groupe Sehsa,Port-au-Prince,"21, Imp. Foyer Divin, Sarthe, Route Nationale # 1",+509 28 13 1034,+509 28 13 1035,handalfils@aol.com,n/a,0,,15,n/a
Haiti Broilers (Hi-Pro),Cabaret,"Route Natinale # 1, Lafito",+509 28 14 4700,+509 28 13 2523,jbijou@jabgl.com,n/a,0,,15,n/a
Haiti Food Supply S.A.,Delmas,"5, Ruelle Jeudy, Route de l'Aeroport",+509 28 13 0797,+509 28 13 0786,n/a,n/a,0,,15,n/a
H2O Haïti Hydraulique Organisation S.A.,Delmas,"Angle Rues Colza et Tertulien Guilbaud, Route de l Aeroport",+509 29 43 2020,+509 34 10 9446,contact@h2ohaiti.com,www.h2ohaiti.com,0,,15,n/a
Haiti International Forwarding (Hif),Tabarre,"Cazeau, Route Nationale #1, en face Usine à glace Pingouin",+509 28 13 1401,+509 37 01 1414,doc@hif.com.ht,n/a,1,,15,n/a
Haiti Recycling,Croix-des-Bouquets,"Lathan, Bon-Repos (Imm. GS Industries)",+509 28 13 1259,+509 28 13 1260,stanleysajous@gmail.com,www.haitirecycling.com,0,,15,n/a
Harvest International Inc.,Cayes,"12, Cite Lumière",+509 37 13 8431,n/a,harvestinhaiti@yahoo.com,n/a,0,,3,n/a
Haytrac (Haytian Tractor & Equipment Co. S.A.),Cap-Haïtien,Bonay Dugal,+509 28 14 8090,n/a,haytrac@haytrac.com,www.haytrac.com,0,,3,n/a
Hinoto S.A.,Delmas,"25, Autoroute de Delmas",+509 29 98 4000,+509 29 98 4001,info@hinoto.com,www.hinoto.com,0,,15,n/a
Hospital & Medical Supplies S.A.,Port-au-Prince,"26, Rue Bois-Patate, Canape-Vert",+509 28 13 1358,+509 28 11 8989,customerrelations@hms.ht,www.hms.ht,0,,15,n/a
Huileries Haïtiennes S.A. (Huhsa),Port-au-Prince,Blvd. Toussaint Louverture,+509 28 15 0000,+509 28 14 0000,huhsadir@gbgroup.net,www.huilerieshaitiennes.com,1,,15,n/a
Hygie Sa,Port-au-Prince,"9 rue tertulien guilbaud, Varreux",+509 42 32 4232,n/a,Amin@hhygie.com,n/a,1,,3,n/a
Industrial Dynamics,Delmas,"2, Rue T. Guilbaud, Blvd. Toussaint Louverture, (à côte de Berhman Motors)",+509 28 13 1978,+509 37 02 2424,Industrialdynamicshaiti@gmail.com,n/a,0,,15,n/a
Innovations S.A.,Petion-Ville,"101, Rue Lambert",+509 36 70 2674,n/a,info@innovationssa.com,www.innovationssa.com,0,,3,n/a
Integral Distributors,Delmas,"114, Delmas 27, Autoroute de Delmas",+509 48 35 1113,n/a,n/a,n/a,0,,3,n/a
International Cargo Perjuste Customs Services,Port-au-Prince,"2, Ave Marie-Jeanne, Bicentenaire",+509 37 42 4724,+509 34 55 8928,intcargo2008@yahoo.com,n/a,0,,15,n/a
International Trading Group (Itg),Tabarre,"20, Ave. Maïs-Gâte, (local Avis)",+509 31 71 9862,+509 48 92 8887,forbinraina@yahoo.com,www.avis.com,0,,15,n/a
Internegoce,Petion-Ville,"25, Rue Metellus, Place Boyer",+509 29 40 8082,+509 37 34 9097,vente@internegoce.ht,www.internegoce.ht,1,,15,n/a
Invertech,Petion-Ville,"7, Rue Clerveaux",+509 36 15 5628,+509 34 41 4442,invertechhaiti@gmail.com,www.invertechhaiti.com,0,,15,n/a
Island Distribution S.A.,Delmas,"20, Delmas 29",+509 28 16 7575,+509 28 16 7676,info@islanddistributionsa.com,www.islanddistributionsa.com,1,,15,n/a
Island Power Supply,Tabarre,"Cazeau, Route Nationale # 1",+509 37 44 1519,n/a,ipshaiti509@gmail.com,n/a,0,,3,n/a
Karyna S.A.,Petion-Ville,"8, Puits Blain 7, Route de Frères",+509 28 13 0373,+509 28 16 0373,info@karynasa.com,www.karynasa.com,0,,15,n/a
Kay Claudy,Port-au-Prince,"52, Boulevard Jean-Jacques Dessalines, Pont Rouge",+509 29 43 0603,+509 29 43 8572,n/a,n/a,0,,15,n/a
Kay Dupuy,Delmas,"61, Autoroute de Delmas, (entre Delmas 12 et 14)",+509 29 47 5716,+509 28 16 1505,kaydupuy@gmail.com,n/a,0,,15,n/a
Kaychen,Port-au-Prince,"3, Imp. Larco, Route Nationale # 1, Sarthe",+509 36 50 9000,+509 36 51 9000,vicad4@yahoo.com,www.kaychen.net,1,,15,n/a
La Menagère S.A. - Deka Group,Delmas,"10, Rue Barbancourt, Route de l'Aeroport",+509 28 13 1890,+509 28 13 1891,n/a,n/a,0,,15,n/a
Laboratoires Farmatrix,Delmas,"Autoroute de Delmas, en face Delmas 10, Complexe Caribbean Contractor",+509 28 13 1916,+509 28 13 0503,farmatrixsa@labfarmatrix.com,www.labfarmatrix.com,0,,15,n/a
Le Flamengo Import Export S.A.,Port-au-Prince,"Rue L. Joseph, Imp. Flamengo, Route Nationale # 1, Drouilllard",+509 28 13 1348,+509 28 13 1349,sales@flamengo-import-export.com,www.flamengo-import-export.com,0,,15,n/a
Le Pelerin Home Decor,Port-au-Prince,"159, Ave Jean-Paul II, Turgeau",+509 28 13 1070,+509 37 06 0062,lepelerinhomedecor@yahoo.fr,n/a,0,,15,n/a
Lea Trading Haiti,Cap-Haïtien,"Entre Rue 5 A et Boulevard, à côte de DHL",+509 22 30 1494,n/a,contactleatrading@gmail.com,www.leatrading.net,0,,3,n/a
Tirezone   Lebrun S.A.,Delmas,Angle Autoroute de Delmas et Delmas 60,+509 28 19 1919,+509 46 02 4417,sales@lebrunsa.com,www.lebrunsa.com,1,,15,n/a
Les Aliments Congeles S.A. (Lacosa),Tabarre,"Angle Route de Damien et Route Nationale #1, Croix-des-Missions",+509 34 56 8282,+1 305 407 1389,lacosahaiti@lacosa.info,n/a,0,,15,+1 305 407 1389
Les Cereales D Haïti S.A.,Carrefour,"14, Thor 14, Thor Le Volant, Route des Rails",+509 38 00 0202,+509 42 55 0202,info@lescerealesdhaiti.com,n/a,1,,15,n/a
Les Entreprises Casco,Port-au-Prince,"3, Imp. Larco, Route Nationale # 1, Sarthes",+509 37 14 5000,n/a,lesentreprisescasco@yahoo.com,www.kaychen.net,0,,3,n/a
Les Entreprises Abethel Parloir Funèbre,Kenscoff,"77, dos du Commissariat de Kenscoff",+509 33 10 9811,+509 34 65 9608,abethelparloirfunebre@yahoo.fr,n/a,0,,15,n/a
Les Entreprises Deschamps-Frisch Sa,Port-au-Prince,HAITI,+509 37 78 0765,n/a,wickyfrisch@gmail.com,n/a,1,,3,n/a
Les Entreprises Plastech Haïti S.A.,Port-au-Prince,"11 A, Rue Paul Moral, Cite Militaire",+509 28 13 1422,+509 28 13 1423,sales@plastechhaiti.com,www.plastechhaiti.com,0,,15,n/a
Les Moulins D Haïti,Cabaret,"Route Nationale # 1, Laffiteau",+509 28 13 0111,+509 28 13 0112,lmh@lmh-ht.com,www.lmh-ht.net,0,,15,n/a
Les Papiers D'Haïti S.A.,Tabarre,"Angle Rues OECC et Romain, Route de Tabarre, Blvd 15 Octobre",+509 37 61 6922,+509 37 01 9947,jaceddy@lespapiersdhaiti.com,n/a,0,,15,n/a
Ltd Construction S.A.,Delmas,"3 et 4, Rue Barbancourt, Blvd. Toussaint Louverture",+509 28 13 1540,+509 28 13 1541,info@ltdconstruction-haiti.com,www.ltdconstruction-haiti.com,0,,15,n/a
Magepa S.A.,Leogâne,"55, Grand Rue",+509 37 51 5531,n/a,info@magepa.com,www.magepa.com,0,,3,n/a
Matelec S.A.,Petion-Ville,"75, Rue Rebecca",+509 48 75 3087,+509 48 75 3103,matelec@matelechaiti.com,www.matelechaiti.com,0,,15,n/a
Mbi Haiti S.A.,Delmas,"Bldg 11,17,52,53 Parc Industriel Sonapi, Blvd Toussaint Louverture",+509 48 82 7488,n/a,n/a,n/a,0,,3,n/a
Medecins Sans Frontières Belgique,Petion-Ville,"Rue Dr Noel, Peguy-Ville",+509 36 26 4661,+509 31 70 2834,n/a,n/a,0,,15,n/a
Metallo Prefab Sa,"Airport Industrial Park, Fleuriot","Airport Industrial Park, Fleuriot",+509 38 99 0000,n/a,cyrille@codigelhaiti.com,n/a,1,,3,n/a
Mima S.A. / Bplt S.A. (Extrema),Port-au-Prince,"331, Ave. Magloire Ambroise, Carrefour-Feuilles",+509 29 49 8922,+509 28 10 9999,sales@mima-sa.com,www.mima-sa.com,1,,15,n/a
Mme Jacques Guilliod,Delmas,"1, Rue Serin, Delmas 71 (Complexe Lafayette)",+509 22 28 8140,n/a,jacquesguillod@yahoo.fr,n/a,0,,3,n/a
Mourra & Fils,Delmas,"14, Rue Justin Juste, Route de l'Aeroport",+509 22 27 0639,+509 38 01 8992,mourraetfils@yahoo.com,n/a,0,,15,n/a
Kay Mr Chacha,Tabarre,"3, Tabarre 41, Route Vorbes et Fils",+509 41 22 0487,+509 44 91 4141,kaymrchacha@gmail.com,n/a,1,,15,n/a
Msc Trading,Port-au-Prince,"Drouillard, Sarthe, Route Nationale # 1",+509 34 62 1111,+509 34 99 1616,msctrading_depot@yahoo.com,n/a,1,,15,n/a
National Bag And Trading Co Sa,Port-au-Prince,Haiti,+509 37 01 9146,n/a,ketlym@acraindustries.com,n/a,1,,3,n/a
Hôpital St-Damien (Nos Petits Frères Et Soeurs),Tabarre,"Tabarre 41, (en face Valerio Canez)",+509 28 16 1602,+509 29 40 9084,n/a,n/a,0,,15,n/a
Nova Solar S.A.,Tabarre,"Bldg. 2, Airport Industrial Park, Fleuriot",+509 28 11 5015,+509 28 17 0705,info@novasolarhaiti.com,n/a,1,,15,n/a
Nutriphar,Petion-Ville,"90, Rue Lambert",+509 28 17 0477,+509 28 17 0478,georgesarmand.ga@gmail.com,n/a,1,,15,n/a
Office City,Petion-Ville,"106, Route de Frères",+509 29 40 0040,+509 28 12 5252,info@officecityllc.com,n/a,0,,15,n/a
Office Star S.A.,Petion-Ville,"Angle Rues Clerveaux & Oge, Complexe Maglio",+509 28 14 4800,n/a,offistar2@aol.com,www.offistar.com,0,,3,n/a
Organisation Haïtienne De Marketing Social Pour La Sante (Ohmass) / Psi Haïti,Petion-Ville,"20, Imp Chanlatte, Peguy-Ville",+509 37 01 9040,+509 28 16 1620,n/a,n/a,0,,15,n/a
One Source Paper,Delmas,"35, Rue Jean-Gilles, Route de l'Aeroport",+509 28 13 0050,+509 48 94 9644,wickyfrisch@icloud.com,n/a,0,,15,n/a
