consignee_final,count_or,descr_final,mmyyyy,shipments,container_total,shipments_vrac,weight_total,Sum of ctr_teu,descr_final_eng,hs_sub,hs_head,hs_chpt,biz_company,biz_town,biz_address,biz_phone1,biz_phone2,biz_email,biz_website,biz_cf_email,biz_cf_company,biz_cf_location,biz_cf_phone1,biz_cf_industry_role,biz_cf_other_role
FOOD FOR THE POOR,USA,AIDES ALIMENTAIRES,2020-11,7,12,0,245046,2,FOOD AID,H5-210690,H5-2106,H5-21,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,USA,AIDES HUMANITAIRES DIVERSES,2020-11,11,15,0,151570,3,MISCELLANEOUS HUMANITARIAN AIDS,H5-999999,H5-9999,H5-99,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,USA,AIDES MEDICALES,2020-11,1,1,0,6863,1,MEDICAL AIDS,H5-300650,H5-3006,H5-30,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
CHATELAIN CARGO SERVICES,CHINA,BATTERIES,2020-11,2,2,0,32804,2,BATTERIES,H5-850650,H5-8506,H5-85,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,CHINA,PANNEAU SOLAIRE,2020-11,1,3,0,41910,2,SOLAR PANEL,H5-854140,H5-8541,H5-85,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,DOMINICAN REPUBLIC,DIVERSE MARCHANDISES,2020-11,1,1,0,7821,2,GENERAL GOODS,H5-999999,H5-9999,H5-99,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,FRANCE,EFFETS PERSONNELS,2020-11,1,2,0,18883,1,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,FRANCE,MARCHANDISE GENERALE,2020-11,2,9,0,87171,2,GENERAL GOODS,H5-999999,H5-9999,H5-99,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,FRANCE,VOITURE D'OCCASION,2020-11,1,3,0,30325,10,USED CAR,H5-870390,H5-8703,H5-87,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,SPAIN,"MATERIEL POUR ASSAINISSEMENT, IRRIGATION, CANALISATION D'EAU",2020-11,1,1,0,2312,2,"MATERIAL FOR SANITATION, IRRIGATION, WATER PIPING",H5-391740,H5-3917,H5-39,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,UNITED ARAB EMIRATES,PIECES D'AUTO,2020-11,0,0,0,0,4,AUTO PARTS,H5-870899,H5-8708,H5-87,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,USA,DIVERSE MARCHANDISES,2020-11,1,1,0,5732,10,GENERAL GOODS,H5-999999,H5-9999,H5-99,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,USA,EFFETS PERSONNELS,2020-11,4,4,0,40809,10,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,USA,"GRAINES, FRUITS ET SPORES A ENSEMENCER",2020-11,0,0,0,0,2,"SEEDS, FRUITS AND SPORES",H5-120999,H5-1209,H5-12,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,USA,"MOTEUR A PISTON (A EXPLOSION,DIESEL,SEMI DIESEL),LEUR PARTIE",2020-11,0,0,0,0,2,"PISTON ENGINE (EXPLOSION, DIESEL, SEMI DIESEL), THEIR PART",H5-841290,H5-8412,H5-84,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
CHATELAIN CARGO SERVICES,USA,VOITURE SUV NEUVE,2020-11,1,0,1,38070,1,SUV CARS,H5-870324,H5-8703,H5-87,Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",50922501650,50937018343,pvc@chatelaincargo.com,www.chatelaincargo.com,,,,,,
ISHA FOODS CO,BELGIUM,OIGNONS,2020-11,1,3,0,88530,1,ONIONS,H5-070310,H5-0703,H5-07,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,CHINA,AILS,2020-11,1,4,0,114901,40,GARLIC,H5-070320,H5-0703,H5-07,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,CHINA,"BOUGIES,CHANDELLES,CIERGES,ET ARTICLES SIMILAIRES",2020-11,1,3,0,82058,80,"CANDLES, CANDLES, CANDLES, AND SIMILAR ARTICLES",H5-340600,H5-3406,H5-34,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,CHINA,COUCHE POUR BEBE,2020-11,3,5,0,60151,40,DIAPER,H5-961900,H5-9619,H5-96,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,CHINA,SAUMONS EN CONSERVE,2020-11,1,3,0,61920,28,CANNED SALMONS,H5-160411,H5-1604,H5-16,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,COLOMBIA,SUCRES,2020-11,1,4,0,106594,26,SUGARS,H5-170113,H5-1701,H5-17,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,INDIA,RIZ,2020-11,1,3,0,78900,24,RICE,H5-100630,H5-1006,H5-10,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,INDONESIA,"EMBALLAGE PLASTIQUE, SAC ET SACHET PLASTIQUES",2020-11,1,1,0,11044,26,"PLASTIC PACKAGING, PLASTIC BAG AND BAG",H5-392329,H5-3923,H5-39,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,INDONESIA,GIROFLES,2020-11,1,1,0,11044,27.25,Cloves,H5-090710,H5-0907,H5-09,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
ISHA FOODS CO,USA,"LEGUMES, FRUITS ET PARTIES COMESTIBLES DE PLANTE EN CONSERVE",2020-11,2,3,0,56789,28,"CANNED VEGETABLES, FRUITS AND EDIBLE PARTS",H5-200599,H5-2005,H5-20,Isha Foods Co,Port-au-Prince,"83, Rue Capois",50928130410,50928130411,sales@ishafoods.com,n/a,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com,rmvilledrouin@ishafoods.com
THE WILLBES HAITIAN SA,GUATEMALA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,3,3,0,23869,40.25,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,CHINA,"ETOFFES EN LAINE,COTTON,POILS FINS EN BONNETERIE /NON",2020-11,1,1,0,11428,21,"WOOL, COTTON, FINE HARNESSES, KNITTED / NON",H5-670420,H5-6704,H5-67,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,CHINA,MACHINE A COUDRE ET A BRODER ET ACCESSOIRES,2020-11,1,1,0,1900,4,SEWING AND EMBROIDERY MACHINE AND ACCESSORIES,H5-844790,H5-8447,H5-84,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,CHINA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,15,15,0,148018,8,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,INDONESIA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,5,5,0,88283,12,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,SOUTH KOREA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,2,2,0,21545,8,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,TAIWAN,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,3,3,0,24042,2,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,USA,MACHINE A COUDRE ET A BRODER ET ACCESSOIRES,2020-11,1,1,0,9308,0,SEWING AND EMBROIDERY MACHINE AND ACCESSORIES,H5-844790,H5-8447,H5-84,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,USA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,2,2,0,11650,1,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
THE WILLBES HAITIAN SA,VIETNAM,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,4,4,0,12972,2,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",50948101627,n/a,hcyang@willbes.com,n/a,,,,,,
MINAYA SPICES,CANADA,"POISSONS SECHES, SALES, POISSONS FUMES, CONSERVES AUTREMENT",2020-11,3,3,0,81585,1,"DRIED, SALTED, SMOKED FISH, OTHER PRESERVES",H5-030520,H5-0305,H5-03,Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",50928160990,50928160991,n/a,n/a,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com
MINAYA SPICES,CHINA,SAUMONS EN CONSERVE,2020-11,1,2,0,43125,8,CANNED SALMONS,H5-160411,H5-1604,H5-16,Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",50928160990,50928160991,n/a,n/a,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com
MINAYA SPICES,NETHERLANDS,OIGNONS,2020-11,3,5,0,147550,4,ONIONS,H5-070310,H5-0703,H5-07,Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",50928160990,50928160991,n/a,n/a,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com
MINAYA SPICES,VIETNAM,CANNELLE ET FLEURS DE CANNELIER,2020-11,1,1,0,16350,4,Cinnamon and cinnamon flowers,H5-090611,H5-0906,H5-09,Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",50928160990,50928160991,n/a,n/a,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com
MINAYA SPICES,VIETNAM,CREVETTES,2020-11,1,1,0,16160,4,SHRIMPS,H5-030639,H5-0306,H5-03,Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",50928160990,50928160991,n/a,n/a,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com,marcel@minayaspice.com
CARIMPEX,MEXICO,PREPARATIONS ALIMENTAIRES POUR BEBE ET ENFANT,2020-11,1,4,0,81869,6,FOOD PREPARATIONS FOR BABIES AND CHILDREN,H5-190110,H5-1901,H5-19,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,PANAMA,EFFETS PERSONNELS,2020-11,1,1,0,6828,8,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,BELGIUM,PRODUIT COSMETIQUE,2020-11,1,1,0,4418,2,COSMETIC PRODUCTS,H5-330499,H5-3304,H5-33,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,BRAZIL,BATTERIES,2020-11,2,2,0,51861,2,BATTERIES,H5-850650,H5-8506,H5-85,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,COSTA RICA,BOUCHON EN PLASTIQUE,2020-11,2,2,0,19405,2,PLASTIC PLUG,H5-392350,H5-3923,H5-39,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,FRANCE,EFFETS PERSONNELS,2020-11,28,28,0,439256,9,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,FRANCE,VOITURE D'OCCASION,2020-11,4,4,0,72220,4,USED CAR,H5-870390,H5-8703,H5-87,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,HONDURAS,MELANGE DE SUBSTANCES ODORIFIANTES,2020-11,2,4,0,81600,6.75,MIXTURE OF SMELLING SUBSTANCES,H5-330290,H5-3302,H5-33,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,USA,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),2020-11,1,1,0,5714,38.25,ACCESSORIES FOR 807 PLANT (TEXTILE INDUSTRY),H5-999999,H5-9999,H5-99,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,USA,"PROVITAMINES OU VITAMINES, ADDITIFS ALIMENTAIRES",2020-11,0,0,0,0,22,"PROVITAMINS OR VITAMINS, FOOD ADDITIVES",H5-293629,H5-2936,H5-29,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
CARIMPEX,USA,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,2020-11,0,0,0,0,20.25,FABRICS AND FABRICS FOR THE TEXTILE INDUSTRY,H5-560311,H5-5603,H5-56,Carimpex,Delmas,"19, Delmas 1 A",50934019589,50934644835,shipping@carimpex-ht.com,n/a,,,,,,
UNION EXPRESS CARGO SERVICES,CANADA,EFFETS PERSONNELS,2020-11,2,2,0,22683,6.75,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Union Express Cargo Services,Port-au-Prince,"2, Angle Rue Pavee et Ave Marie-Jeanne, Bicentenaire",50934578687,50933488687,u_e_c_s21@yahoo.fr,n/a,,,,,,
UNION EXPRESS CARGO SERVICES,NETHERLANDS ANTILLES,EFFETS PERSONNELS,2020-11,0,0,0,0,1,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Union Express Cargo Services,Port-au-Prince,"2, Angle Rue Pavee et Ave Marie-Jeanne, Bicentenaire",50934578687,50933488687,u_e_c_s21@yahoo.fr,n/a,,,,,,
UNION EXPRESS CARGO SERVICES,USA,EFFETS PERSONNELS,2020-11,2,2,0,35935,1,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,Union Express Cargo Services,Port-au-Prince,"2, Angle Rue Pavee et Ave Marie-Jeanne, Bicentenaire",50934578687,50933488687,u_e_c_s21@yahoo.fr,n/a,,,,,,
ANTONIO HANDAL & CO,COLOMBIA,BISCUITS,2020-11,2,8,0,183021,2,COOKIES,H5-190531,H5-1905,H5-19,,,,,,,,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com
ANTONIO HANDAL & CO,INDIA,"SUCRERIES SANS CACAO (Y COMPRIS CHOCOLAT BLANC),GOMME A MACH",2020-11,1,1,0,28350,1,"COCOA FREE SWEETS (INCLUDING WHITE CHOCOLATE), CHEWING GUM",H5-170410,H5-1704,H5-17,,,,,,,,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com
ANTONIO HANDAL & CO,NETHERLANDS,LAIT CONCENTRE NON SUCRE,2020-11,2,35,0,694310,1,NON-SUGAR CONCENTRATED MILK,H5-040291,H5-0402,H5-04,,,,,,,,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com
ANTONIO HANDAL & CO,NETHERLANDS,LAIT EN POUDRE,2020-11,4,5,0,93429,2,POWDERED MILK,H5-040210,H5-0402,H5-04,,,,,,,,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com,edc.admin@grupohandal.com
TASHA FOOD,BELGIUM,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,2020-11,1,2,0,49542,1,FRESH OR REFRIGERATED OR FROZEN PORK MEAT,H5-020319,H5-0203,H5-02,Tasha Foods,Delmas,"Rue Xaragua, Delmas 31",50946294153,n/a,n/a,n/a,,,,,,
TASHA FOOD,USA,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2020-11,2,4,0,104897,1,"MEAT AND POULTRY OFFAL (CHICKEN, TURKEY ROOSTER) REFRIGERATED",H5-020712,H5-0207,H5-02,Tasha Foods,Delmas,"Rue Xaragua, Delmas 31",50946294153,n/a,n/a,n/a,,,,,,
PB CUSTOMS SERVICES,CANADA,EFFETS PERSONNELS,2020-11,7,7,0,70000,2,PERSONAL EFFECTS,H5-999999,H5-9999,H5-99,PB Customs Services,Port-au-Prince,"5, Ave Marie-Jeanne, Bicentenaire",50937762272,50934830303,bpcustomservice@yahoo.fr,n/a,,,,,,
PB CUSTOMS SERVICES,CANADA,VOITURE D'OCCASION,2020-11,1,1,0,10000,2,USED CAR,H5-870390,H5-8703,H5-87,PB Customs Services,Port-au-Prince,"5, Ave Marie-Jeanne, Bicentenaire",50937762272,50934830303,bpcustomservice@yahoo.fr,n/a,,,,,,
