index,cnt_size_final,cnt_type,cnt_teu,consolidated,short_shipped,shipper,consignee,notify,number_of_packages,package_type,descr,new_descr,port_origin,port_tss,port_dest,count_origin,count_tss,count_dest,r1_origin,r1_tss,r1_dest,r2_origin,r2_tss,r2_dest,loc_code,date_of_arrival,voyage,vessel,carrier,mode,id,shipments,container_total,shipments_vrac,weight_total,date2,country,TEU,transcountry,CTN,bol_ref
20029,40GP,DRY,2,,,ALLIANCE INTERNATIONAL SHIPPING LLC ,DIVERSAINT MYRIANE ,SAME AS ABOVE ,1, SACHET,LOT OF PERSONAL EFFECTS 0.00 SMLU7918464,EFFETS PERSONNELS,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-26-1-SMLU7918464,1,1,0,16493,44136,USA,2,USA,SMLU7918464,6316813A
20019,40GP,DRY,2,,,ALLIANCE INTERNATIONAL SHIPPING LLC ,DARCIUS HONORE ,SAME AS ABOVE ,1, SACHET,LOT OF PERSONAL EFFECTS 0.00 SMLU7970858,EFFETS PERSONNELS,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-7-1-SMLU7970858,1,1,0,12946,44136,USA,2,USA,SMLU7970858,6287073A
20009,40GP,DRY,2,,,PEREZ TRADING COMPANY INC ,GRACE TRADING ,GRACE TRADING ,107, PALETTE,PALLETS BOND PAPER (PAPEL BOND) 0.00 SMLU7859269 SMLU7972742 SMLU7873246 SMLU7888647,PAPIER,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-83-1-SMLU7859269,1,1,0,91678,44136,USA,2,USA,SMLU7859269,6339277A
19999,20GP,DRY,1,,,TROJAN BATTERY COMPANY ,VALERIO CANEZ S A ,SAME AS ABOVE ,,,"PCS BATTERIES UN2794 BATTERIES,WET,FILLED WITH ACID, CLASS 8 / 703-527-3887 0.00 SMLU2568050 SMLU3108737",BATTERIES,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-13-1-SMLU3108737,1,1,0,0,44136,USA,0,USA,SMLU3108737,6306227A
19989,40RF,reefer,2,,,EMEX INC ,HAITI FOOD SUPPLY SA ,HAITI FOOD SUPPLY SA ,608, PIECE,PCS STC 8 PALLET ASSORTED FOODSTUFF 600 PIECES CHICKEN DRUMS TEMPERATURE: 0°F 0.00 BMOU9851723,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-94-1-BMOU9851723,1,1,0,23853,44136,USA,2,USA,BMOU9851723,6343185A
19979,20GP,DRY,1,,,DONGSUE LOGISTICA SOCIEDAD ANONIMA ,HANSAE HAITI SA ,HANSAE HAITI SA ,302, TAMBOUR S,ROLS DYED FABRIC 100% POLYESTER 0.00 SMLU3148030,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,SANTO THOMAS,MIAMI - FL,PORT-AU-PRINCE,GUATEMALA,USA,HAITI,CENTRAL AMERICA,NORTH AMERICA,CARIBBEAN,CENTRAL AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-40-1-SMLU3148030,1,1,0,5356,44136,Guatemala,1,USA,SMLU3148030,6325014A
19969,40HC,DRY,2,1,,AN32 FRANCE ,JOSEPH WIDNER ,AN32 HAITI ,1, DIFFEREN T,1 VEHICULE STC: PEUGEOT REGISTRATION DATE : 16/11/2005 CHASSIS : VF33H9HXC84362983 COLOR: BLEU USD 0.00 6277291630-3,VOITURE D'OCCASION,LE HAVRE,MANZANILLO - PA,PORT-AU-PRINCE,FRANCE,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-20-3-UETU5418844,1,0,0,1500,44136,France,2,Panama,UETU5418844,6277291630-3
19959,40HC,DRY,2,1,,BERTHIN SAINT-VRY ,BERTHIN SAINT VRY ,CARIMPEX ,1, VEHICULE AUTOMOB ILE,"STC 1 VEHICULE FOURGON MERCEDES, IMM CR-396-PM, CHASSIS VSA63809413288795, 1RE MISE EN CIR 07.08.2000 USD 0.00 BERTHIN SAINT VRY",FOURGON A BAGAGE ET AUTRE VOITURE SPECIALE POUR VOIE FERREE,LE HAVRE,MANZANILLO - PA,PORT-AU-PRINCE,FRANCE,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-17-2-CSNU6322811,1,0,0,1680,44136,France,2,Panama,CSNU6322811,13.01408.02
19949,40HC,DRY,2,,,IFB INTERNATIONAL FREIGHT BRIDGE ,CARIMPEX ,CARIMPEX ,3, DIFFEREN T,1 LOT 1 LOT EFFETS PERSONNELS (PIERRE REGINALD - HBL NR 13.01409.01) USD 0.00 M,EFFETS PERSONNELS,LE HAVRE,MANZANILLO - PA,PORT-AU-PRINCE,FRANCE,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-15-1-CBHU9488290,1,1,0,18970,44136,France,2,Panama,CBHU9488290,COSU6276431620
19939,20TK,tank,1,,,GLENCANE BIOENERGIA S.A. ,RONALD VILBON IMPORT EXPORT ,RONALD VILBON IMPORT EXPORT ,,,10 X ISOTANKS 20 FLEMA OF ALCOHOL248 246.000 LITERS OF FLEMA OF ALCOHOLFREIGHT PREPAID ABROADSHIPPED ON BOARDTOTAL USD 0.00 XX,ALCOOLS ACYCLIQUES ET LEURS DERIVES,SANTOS,CARTAGENA,PORT-AU-PRINCE,BRAZIL,COLOMBIA,HAITI,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-97-1-BPTU2661828,1,1,0,0,44136,Brazil,0,Colombia,BPTU2661828,ZIMUSNT8038804
19929,20GP,DRY,1,,,FOODIBEV INTERNATIONAL S L ,SHID S.A ,SHID S.A. ,,,1071 CARTONS S.T.C.: MAGIC SPARKLING DRINK HS CODE 22029919 USD 0.00 M,"VERMOUTH, VINS DE RAISINS FRAIS, VINS ENRICHIS D'ALCOOL",ANTWERP,MANZANILLO - PA,PORT-AU-PRINCE,BELGIUM,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-1-1-CSNU1054824,1,1,0,0,44136,Belgium,0,Panama,CSNU1054824,COSU6275044870
19919,40HC,DRY,2,,,MOBILE INTERNATIONAL ,HOUSE OF USED ITEMS AND OTHERS ,HOUSE OF USED ITEMS AND OTHERS ,1244, DIFFEREN T,1244 PACKAGES FRIPERIE MELEES USD 0.00 M,ARTICLE DE FRIPERIE,ANTWERP,MANZANILLO - PA,PORT-AU-PRINCE,BELGIUM,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-2-1-OOCU8415093,1,1,0,55980,44136,Belgium,2,Panama,OOCU8415093,COSU6276488840
19909,20GP,DRY,1,,,TEREOS ACUCAR E ENERGIA BRASIL S.A ,TO ORDER ,TROPIC S.A. ,,,1560 BAGS 78 MT OF BRAZILIAN REFINED SUGAR SHIPPED ON BOARD USD 0.00 M,SUCRES,SANTOS,KINGSTON,PORT-AU-PRINCE,BRAZIL,JAMAICA,HAITI,SOUTH AMERICA,CARIBBEAN,CARIBBEAN,SOUTH AMERICA,CARIBBEAN,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-41-1-TGBU2097092,1,1,0,0,44136,Brazil,0,Jamaica,TGBU2097092,COSU6273337280
19899,40HC,DRY,2,,,AN32 FRANCE ,GILBERT MALOY ,AN32 HAITI ,1, DIFFEREN T,1X40' STC: 1 LOT USED PERSONAL EFFECTS USD 0.00 6277924610-1,EFFETS PERSONNELS,LE HAVRE,MANZANILLO - PA,PORT-AU-PRINCE,FRANCE,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,WESTERN EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-26-1-OOLU8838656,1,1,0,9000,44136,France,2,Panama,OOLU8838656,6277924610-1
19889,40HC,DRY,2,,,MONDI PAPER SALES GMBH ,TO THE ORDER OF UNIBANK S.A ,NATIONAL BAG AND TRADING CO. S.A. ,167, DIFFEREN T,27 REELS PAPER REELS PAPER 28 REELS PAPER USD 0.00 M,PAPIER,HAMBURG,MANZANILLO - PA,PORT-AU-PRINCE,GERMANY,PANAMA,HAITI,EUROPE,CENTRAL AMERICA,CARIBBEAN,CENTRAL EUROPE,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-7-1-CAIU7084670,1,1,0,148382,44136,Germany,2,Panama,CAIU7084670,COSU6276148570
19879,20GP,DRY,1,,,RODIS ROYALE DISTRIBUTION ,GOLDEN RULES ,OCTAVIA CONSORTIUM SAL ,1811, CARTON,3X20'ST STC 1811 CARTONS PRODUITS DE BEAUTE DECL/ NO E9598 DU 01/09/2020 FREIGHT PREPAID USD 0.00 N/M,"PRODUIT DE BEAUTE, MAQUILLAGE, POUR SOIN DE PEAU,MANUCURE",ABIDJAN,KINGSTON,PORT-AU-PRINCE,COTE D'IVOIRE,JAMAICA,HAITI,AFRICA,CARIBBEAN,CARIBBEAN,WESTERN AFRICA,CARIBBEAN,CARIBBEAN,CPS,44137,2301DS,PACIFIC TRADER,CMA/CGM,SEA,CMA_11-02-2020_SYD-1-1-BEAU2302666,1,1,0,29476,44136,Ivory Coast,1,Jamaica,BEAU2302666,AEV0161186
19869,20GP,DRY,1,,,IGUANA TRADING ,H4H  S.A. ,H4H  S.A. ,598, CARTON,598 PACKAGES OFTPU SHOULDER TAPE JBA-0608S(1 000 YARDS)1/2' CLEAR STANDARD TAG PIN3' CLEAR FINE TAG PINSANITARY PADNEEDLE DBX1 USD 0.00 JCA KOREAIGUANA / PACIFIC'YANGJI / H4H'IGUANA / JCA HAITI,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),BUSAN,KINGSTON,PORT-AU-PRINCE,SOUTH KOREA,JAMAICA,HAITI,ASIA,CARIBBEAN,CARIBBEAN,EAST ASIA,CARIBBEAN,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-75-1-ZIMU1160039,1,1,0,5703,44136,South Korea,1,Jamaica,ZIMU1160039,ZIMUSEL7039599
19859,40HC,DRY,2,,,SAVINO DEL BENE USA ,ISLAND FOOD GROUP S.A ,ISLAND FOOD GROUP S.A ,,,"72 PACKAGES ""MACHINERY TO MANUFACTURE BREAKFAST CEREALS USD 0.00 M","APPAREIL, ACCESSOIRE POUR TRAITEMENT DE CEREAL, POUR MINOTERIE",PORT NEWARK ELIZABETH - NJ,COLON,PORT-AU-PRINCE,USA,PANAMA,HAITI,NORTH AMERICA,CENTRAL AMERICA,CARIBBEAN,NA_MIDDLE ATLANTIC,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-10-1-CSNU6165775,1,1,0,0,44136,USA,0,Panama,CSNU6165775,COSU6278188950
19849,40HC,DRY,2,,,SAVINO DEL BENE USA ,ISLAND FOOD GROUP S.A ,ISLAND FOOD GROUP S.A ,,,"72 PACKAGES ""MACHINERY TO MANUFACTURE BREAKFAST CEREALS USD 0.00 M","APPAREIL, ACCESSOIRE POUR TRAITEMENT DE CEREAL, POUR MINOTERIE",PORT NEWARK ELIZABETH - NJ,COLON,PORT-AU-PRINCE,USA,PANAMA,HAITI,NORTH AMERICA,CENTRAL AMERICA,CARIBBEAN,NA_MIDDLE ATLANTIC,CENTRAL AMERICA,CARIBBEAN,CPS,44137,041E,PACIFIC TRADER,COSCO SHIPPING,SEA,COS_11-02-2020_SYD-10-1-SEGU5037568,1,1,0,0,44136,USA,0,Panama,SEGU5037568,COSU6278188950
19839,40RF,reefer,2,,,BOUDREAU FARM & SEA PRODUCTS LTD. ,CENTROPLUS S.A. ,CENTROPLUS S.A. ,1850, PALETTE,ALEWIVESNET 30 LBSSGS: HT71/2020/00186HS CODE: 03056100CERS: UD375320201014232206 USD 0.00 XX,"POISSONS SECHES, SALES, POISSONS FUMES, CONSERVES AUTREMENT",HALIFAX,KINGSTON,PORT-AU-PRINCE,CANADA,JAMAICA,HAITI,NORTH AMERICA,CARIBBEAN,CARIBBEAN,NA_NORTHEAST,CARIBBEAN,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-8-1-ZCSU5859410,1,1,0,27692,44136,Canada,2,Jamaica,ZCSU5859410,ZIMUHFX907497
19829,40HC,DRY,2,,,HERSAND ,AARON SA ,AARON SA ,655, CARTON,ARTICLES DIVERS DE FRIPERIE QUALITE  NO 3 USED CLOTHES ARTICLES QUALITY NO 3(cid:9)(cid:9) HS CODE:63090000 USD 0.00 N/M,ARTICLE DE FRIPERIE,LE HAVRE,KINGSTON,PORT-AU-PRINCE,FRANCE,JAMAICA,HAITI,EUROPE,CARIBBEAN,CARIBBEAN,WESTERN EUROPE,CARIBBEAN,CARIBBEAN,CPS,44137,2301DS,PACIFIC TRADER,CMA/CGM,SEA,CMA_11-02-2020_SYD-7-1-GESU6842675,1,1,0,24165,44136,France,2,Jamaica,GESU6842675,LHV2364662
19819,20GP,DRY,1,,,USINA SANTA FE SA. ,DENALI TRADING ,DENALI TRADING ,,,BRAZILIAN WHITE CRYSTAL SUGARTOTAL NET WEIGHT: 540.000 MTTOTAL GROSS WEIGHT: 541.6416 MTTOTAL NUMBER OF BAGS: 10 800 USD 0.00 XX,SUCRES,SANTOS,CARTAGENA,PORT-AU-PRINCE,BRAZIL,COLOMBIA,HAITI,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-98-1-FCIU4242532,1,1,0,0,44136,Brazil,0,Colombia,FCIU4242532,ZIMUSNT8040017
19809,20GP,DRY,1,,,USINA SANTA FE SA. ,DENALI TRADING ,DENALI TRADING ,,,BRAZILIAN WHITE CRYSTAL SUGARTOTAL NET WEIGHT: 540.000 MTTOTAL GROSS WEIGHT: 541.6416 MTTOTAL NUMBER OF BAGS: 10 800 USD 0.00 XX,SUCRES,SANTOS,CARTAGENA,PORT-AU-PRINCE,BRAZIL,COLOMBIA,HAITI,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,SOUTH AMERICA,SOUTH AMERICA,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-98-1-ZIMU1033158,1,1,0,0,44136,Brazil,0,Colombia,ZIMU1033158,ZIMUSNT8040017
19799,20GP,DRY,1,,,SENECA FOODS CORPORATION ,ISHA FOODS CO. ,ISHA FOODS CO. ,2560, CARTON,CANNED VEGETABLES:SWEET PEAS AND CORNHS CODE: 2005.40  2005.80HS CODE: 200540TRANSACTION REFERENCE NUMBER (ITN): USD 0.00 XX,"LEGUMES, FRUITS ET PARTIES COMESTIBLES DE PLANTE EN CONSERVE",PORT NEWARK ELIZABETH - NJ,KINGSTON,PORT-AU-PRINCE,USA,JAMAICA,HAITI,NORTH AMERICA,CARIBBEAN,CARIBBEAN,NA_MIDDLE ATLANTIC,CARIBBEAN,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-56-1-ZIMU1003889,1,1,0,18579,44136,USA,1,Jamaica,ZIMU1003889,ZIMUORF1012290
19789,20GP,DRY,1,,,BROTHERS BLESSING LIMITED ,ISLAND DISTRIBUTION S.A. ,ISLAND DISTRIBUTION S.A. ,,,COLOR CORRUGATED ROOFING SHEETS USD 0.00 N/M,"FEUILLE, BANDE ET TOLE EN ACIER OU AUTRE MATIERE",QINGDAO,KINGSTON,PORT-AU-PRINCE,CHINA,JAMAICA,HAITI,ASIA,CARIBBEAN,CARIBBEAN,EAST ASIA,CARIBBEAN,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-63-1-ZIMU2847307,1,1,0,0,44136,China,0,Jamaica,ZIMU2847307,ZIMUQIN4403199
19779,40RF,reefer,2,,,ADRICE CORMIER LTD. ,MINAYA SPICES ,MINAYA SPICES ,1850, PALETTE,DRY PACK ALEWIVES (30 LBS NET) SGS #: HT71/2020/00058HS CODE: 03056100CERS: AV086120201020251721 USD 0.00 XX,"POISSONS SECHES, SALES, POISSONS FUMES, CONSERVES AUTREMENT",HALIFAX,KINGSTON,PORT-AU-PRINCE,CANADA,JAMAICA,HAITI,NORTH AMERICA,CARIBBEAN,CARIBBEAN,NA_NORTHEAST,CARIBBEAN,CARIBBEAN,CPS,44137,41EPACIFICTCPS,PACIFIC TRADER,ZIM LINES,SEA,ZIM_11-02-2020_SYD-7-1-ZCSU5862590,1,1,0,27195,44136,Canada,2,Jamaica,ZCSU5862590,ZIMUHFX907424
